V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
93,6,2,0,1,1,1,3,5,27,2,4,1,2,0,2,
94,6,2,0,2,2,2,3,6,25,2,5,2,8,8,1,
95,6,2,0,1,1,1,1,4,38,2,5,1,4,0,1,
96,6,1,0,1,1,1,1,8,27,2,5,2,8,8,1,
97,6,2,0,1,1,3,1,4,43,2,5,1,4,0,1,
98,6,2,0,5,2,2,2,3,29,2,5,1,0,0,2,
99,6,2,0,3,3,3,1,3,52,2,3,1,0,0,1,
100,6,2,0,1,1,1,2,3,18,2,4,1,2,0,1,
101,6,1,0,2,2,2,3,4,22,2,5,1,0,0,1,
102,6,1,0,2,2,1,1,7,25,2,5,1,1,0,1,
103,6,2,0,2,2,1,1,7,71,1,3,2,8,8,2,
104,6,2,0,3,2,1,1,3,21,2,2,1,1,0,1,
105,6,1,0,2,2,2,1,4,22,2,3,1,3,0,1,
106,6,1,0,4,4,1,3,3,18,1,5,1,3,0,2,
107,6,2,0,2,2,2,1,4,29,1,8,1,1,0,1,
108,6,2,0,2,2,2,1,4,52,1,5,1,7,0,1,
109,6,1,0,2,2,2,1,2,72,1,3,1,1,0,1,
110,6,1,0,2,2,2,3,2,72,2,3,2,8,8,2,
111,6,2,0,2,2,2,1,4,21,2,4,1,3,0,1,
112,6,1,0,2,2,2,1,3,41,2,4,2,8,8,2,
113,6,2,0,2,2,2,1,4,25,2,3,1,3,0,2,
114,6,2,0,2,2,2,3,2,63,1,4,1,1,0,2,
115,0,1,0,1,1,3,3,7,35,2,7,1,7,2,1,
116,0,2,0,1,1,1,1,4,20,2,3,1,2,0,1,
117,0,1,0,1,1,1,1,4,22,2,2,1,1,0,1,
118,0,2,0,2,2,1,1,5,21,2,6,1,1,1,1,
119,0,2,0,2,2,2,1,7,32,2,6,1,1,0,2,
